star,A,B,sigma_x2,sigma_y2,x,y
GSC06325-01883,66762.35054,4514.163637,3.861569383,4.290492858,620.14,877.52
GSC06325-02056,61575.00358,4536.882892,3.812062149,4.501789249,713.88,552.25
GSC06325-01783,11844.2509,4399.270099,5.677832915,4.996773713,1216.5,818.38
GSC06325-00008,7154.086305,4370.592278,4.761981776,4.893364416,973.13,375.27
GSC06325-00140,6855.267928,4328.28843,4.769050703,5.678353671,266.83,85.451
GSC06325-00341,5439.525611,4392.219847,7.129420899,5.728612275,1254.1,197.84
GSC06325-01694,7348.311273,4335.599106,3.679973727,4.389397209,633.83,1003.4
GSC06325-00086,5779.048925,4347.889024,4.907631309,5.681243543,550.06,16.419
GSC06325-00656,4663.647955,4335.808436,4.719318241,5.867151705,609.16,19.119
GSC06325-00059,4896.406994,4361.671591,4.569441084,4.784740434,918.92,393.06
GSC06325-01822,4142.174202,4348.75068,5.616877732,4.847246801,1149.7,703.61
GSC06325-00786,3957.974878,4335.272069,4.533424087,5.345362348,396.99,135.5
GSC06325-01848,4016.897629,4355.896538,4.429303576,4.701380851,1015.7,663.31
GSC06325-00551,3445.202281,4307.866026,5.317877867,6.024708556,58.921,52.516
GSC06325-00365,3206.665125,4403.015304,5.860524639,5.087106004,972.03,306.71
GSC06325-01731,3484.438334,4286.578564,3.873762515,4.306579093,227.91,870.87
GSC06325-02092,3182.894959,4296.113698,4.308238606,4.691997376,67.572,514.68
GSC06325-00089,3257.059562,4325.15286,4.064840492,4.749730246,406.74,344.31
GSC06325-00401,2491.207047,4362.797361,6.168934114,5.768383949,1109.3,91.648
GSC06325-00737,2911.070639,4313.812014,4.376086784,5.227278401,318.87,218.2
GSC06325-01934,3159.414279,4336.281129,3.851876372,4.355196083,738.98,678.33
GSC06325-00275,2507.59546,4354.698095,4.982273933,5.63767833,848.67,90.183
GSC06325-00293,2834.916706,4322.195877,4.208606435,4.754041031,418.56,308.33
GSC06325-01968,2699.75876,4291.660064,3.878627263,4.461227445,382.23,993.95
GSC06325-00329,2213.641807,4288.405294,4.507359816,5.008317793,80.592,325.62
GSC06325-00053,1940.103716,4358.07104,5.759203365,5.468743544,1080.7,227.8
N/A,2082.364658,4291.337685,3.768299392,4.714334866,347.75,920.89
N/A,2108.878564,4288.497816,3.779098276,4.38657323,284.19,983.35
GSC06325-00611,1868.24149,4299.217108,4.378481414,4.750598985,188.19,366.67
N/A,1410.51894,4377.130845,7.493554652,5.938244145,1201.6,23.556
GSC06325-00473,1708.71485,4329.726026,4.486166425,4.71398198,447.33,244.71
GSC06325-00287,1632.995534,4345.34093,4.855264255,5.065057008,982.9,329.75
GSC06325-02093,1651.005453,4345.648966,3.938474455,4.775308542,782.64,531.24
GSC06325-00755,1385.582382,4340.955833,4.749829526,5.485051751,699.36,83.536
GSC06325-01723,1725.679065,4307.976592,3.431324831,4.395493275,551.26,856.26
GSC06325-01922,1574.681651,4295.768056,3.773099131,4.491166829,332.1,657.8
N/A,1274.322941,4337.242839,5.652767087,5.208293571,1096.4,496.56
N/A,1102.742597,4491.470748,6.810512104,6.308321735,1257.9,11.922
GSC06325-00680,1434.997833,4312.155447,4.143008703,4.863466862,347.77,278.35
GSC06325-02033,1126.679874,4336.752016,5.482089081,6.780554454,1160,618.6
GSC06325-00167,1229.76288,4329.419311,4.726194993,5.608485739,252.81,25.829
N/A,1386.656286,4311.495785,3.963435849,4.447788587,886.22,883.37
GSC06325-02055,1263.725621,4283.899926,4.304967449,4.204924326,8.78,680.86
GSC06325-02061,1396.673316,4360.78658,3.791861858,4.407521036,680.38,570.89
N/A,1072.535953,4343.70573,4.705842196,5.155606417,1137.1,525.29
GSC06325-02060,1137.790417,4288.150827,4.243095057,4.395945305,234.4,550.48
GSC06325-00599,1030.607329,4329.45584,4.294881898,4.895483572,501.51,231.3
N/A,1015.48064,4327.867249,4.664183919,4.738187663,1068.8,644.16
N/A,955.7391298,4324.13521,5.191155543,5.081253153,1218.9,880.69
GSC06325-00740,1033.95226,4312.783625,4.301745567,4.606134205,295.38,323.04
GSC06325-02005,1072.967992,4310.254469,3.513113505,4.345753924,534.71,650.74
GSC06325-00395,889.8578241,4293.536256,5.115995489,5.350496432,28.942,321.63
GSC06325-02097,933.0516515,4301.080225,3.959841927,4.99848788,146.57,510.95
GSC06325-02081,889.1847409,4292.377983,4.379307624,4.567340089,113.94,631.84
GSC06325-00461,876.3770619,4315.131513,4.439995333,5.31391319,318.89,82.131
N/A,981.4136817,4346.504478,3.689311923,4.395923888,636.87,555.8
GSC06325-01779,886.5974561,4309.346776,3.608358521,4.981203925,591.68,805.88
N/A,713.1079347,4347.359419,6.291410905,5.556014902,1216.9,476.68
N/A,876.8318302,4337.865705,4.385587942,4.239663069,833.21,626.83
N/A,813.3738033,4349.982526,4.624193763,4.564662143,842.44,207.95
N/A,768.6937788,4333.911357,4.568116564,5.691653444,610.55,132.99
N/A,731.1682621,4346.688677,4.506073993,5.066033973,1130.1,761.39
N/A,805.1662284,4273.147649,4.326918633,4.909679647,162.77,963.92
N/A,831.631185,4277.783906,4.252867299,3.907967049,95.665,929.11
N/A,745.7279115,4345.335384,5.136575969,4.647929111,1034.5,435.71
N/A,639.3803189,4336.620623,5.075639209,5.929316364,796.07,85.47
N/A,694.5386328,4341.571494,4.382261723,5.10866286,941.94,288.49
N/A,670.1179173,4323.807467,5.460888932,4.968997818,1205,786.32
GSC06325-00128,610.8685066,4340.687194,4.665297584,6.721415923,647.27,67.05
N/A,718.0174585,4321.212832,4.570989994,4.322693477,1068.2,808.02
N/A,633.8644078,4334.296289,5.990159239,4.362355844,995.72,540.61
N/A,761.9095371,4289.551434,3.743433145,3.931724705,410.3,1007.3
N/A,672.8508372,4331.963392,4.802604736,4.251743581,1069.2,750.75
N/A,628.4331107,4312.852117,4.354323583,4.80403698,438.99,423.22
N/A,653.2872581,4299.017852,3.591516114,4.764883948,478.8,808.77
N/A,546.4091206,4297.904963,5.017831043,6.13815072,95.16,72.032
N/A,496.2190893,4355.478824,5.760992187,5.592187614,1108.8,143.97
N/A,503.3318507,4306.402592,5.089495547,6.115390153,110.38,27.321
N/A,544.3915457,4260.005639,4.387888563,4.645223646,176.13,665.68
N/A,591.0849231,4331.692765,4.651317883,4.107411727,985.41,657.77
N/A,601.0955227,4295.455981,3.447193262,4.544930433,330.99,726.11
N/A,469.0198167,4282.57038,6.142106264,6.165915858,10.654,90.404
N/A,572.5791207,4299.041386,3.615357639,4.202119143,462.46,774.04
N/A,460.6302179,4350.621568,5.163804925,5.301606531,1008.8,149.56
N/A,512.0508196,4253.344439,5.374619386,5.41701611,10.988,777.4
N/A,525.0618543,4289.306543,4.164310068,4.214743986,74.504,484.79
N/A,438.9385937,4364.692399,5.28888696,4.798272266,1164,378.95
N/A,527.4627462,4267.791529,4.015971928,4.583964854,64.675,682.1
N/A,572.3545334,4309.835007,3.406602638,3.988298498,567.54,754.65
N/A,500.6603226,4281.760612,3.948421289,4.25843425,173.64,760.19
N/A,342.4092663,4314.498773,6.16293465,4.95149091,1240.3,952.7
N/A,419.8886025,4284.936402,4.029395369,5.551366113,296.64,929.85
N/A,439.3412791,4335.901883,4.117192582,4.306067136,863.09,632.58
N/A,395.4398108,4339.251238,3.986970367,4.10783856,732.08,596.34
N/A,378.6015989,4304.46834,4.520371103,5.862185177,339.3,133.54
N/A,270.8799993,4347.837704,5.120086858,14.55416806,917.44,118.68
N/A,373.3296342,4316.117821,4.359879157,5.109800516,480.47,329.2
N/A,283.4175141,4344.268409,5.188334411,10.75704139,1188,494.34
N/A,412.9512267,4301.654039,3.976725714,4.33783979,312.68,274.12
N/A,314.230193,4365.327043,6.412358904,5.722606284,1177.8,81.277
N/A,319.7083979,4346.984985,6.093759486,4.960869975,1052.2,405.09
N/A,330.4083438,4328.954029,4.748243468,5.599755595,1046,728.1
N/A,404.9315607,4334.886964,3.478726057,5.010129934,381.02,402.37
N/A,282.4770034,4348.264776,5.90306069,6.358464336,1058,194.98
N/A,256.9997968,4284.312655,4.794744137,6.780486768,93.008,281.09
N/A,362.8466826,4316.21705,4.283121301,4.592560059,428.86,174.76
N/A,343.185546,4290.397413,4.239280886,4.733116,515.19,908.24
N/A,375.0682339,4274.311053,3.215769344,6.086698491,224.86,810.37
N/A,340.8432357,4333.443477,4.200739176,5.603281793,636.74,360.98
N/A,432.3160615,4300.110852,3.287288287,3.387490587,642.53,942.16
N/A,279.1440303,4297.464163,4.384896436,5.857530855,71.463,209.02
N/A,297.7140784,4305.764711,4.354359959,4.87962612,1011.6,987.51
N/A,358.2989588,4290.562288,3.53202126,4.483440322,407.8,804.45
N/A,306.8453681,4295.746098,4.561788164,4.933901499,279.34,546.13
N/A,256.3658539,4304.323264,4.991614294,4.306424583,966.86,916.77
N/A,239.0569486,4333.723964,4.507466538,6.571749645,716.75,122.06
N/A,310.5397155,4335.162006,3.498879466,4.326954783,566.26,568.26
N/A,287.9714186,4319.882537,3.66941106,5.468789271,373.14,39.949
N/A,256.5014544,4345.99313,4.197086342,5.481944277,925.89,420.84
N/A,273.3891012,4283.205618,4.001796009,4.832450759,129.51,745.84
N/A,235.3484387,4358.443977,6.648892399,5.750481086,1194,179.66
N/A,252.3660319,4284.028756,3.55792178,5.294305244,205.03,723.42
N/A,217.6786319,4327.247616,5.818635267,3.970667211,582.29,297.44
N/A,248.2187435,4333.296108,3.293189686,4.409004423,739.63,312.99
N/A,250.1858666,4335.282499,4.078026039,7.238396286,802.63,493.34
N/A,272.5143247,4291.772757,3.558789444,4.053076587,453.88,950.51
N/A,221.0299058,4323.064175,3.663038156,6.997884044,354.18,112.78
N/A,238.1917348,4276.20501,3.397679085,6.60394238,39.299,906.98
N/A,214.5308775,4305.288659,4.349002997,5.199429249,492.94,638.16
N/A,235.5312255,4334.9452,3.559314505,6.102408429,621.12,68.125
N/A,237.861381,4331.622523,2.988289102,4.233067602,788.51,618.8
N/A,194.2420334,4281.592389,4.063650788,5.791803788,57.132,423.21
N/A,264.7992761,4344.735038,3.182713278,4.539872059,875,503.06
N/A,241.0658034,4318.330879,4.631825956,3.27438351,423.05,457.63
N/A,190.3284997,4281.309114,3.590137638,5.524388052,112.11,477.76
N/A,212.0596833,4321.461361,3.31191498,4.288776682,412.47,267.19
N/A,209.5642745,4297.353614,6.001522852,3.548191634,78.84,173.91
N/A,177.2848552,4310.510984,3.926586652,3.837389916,625.7,751.78
N/A,212.4317249,4314.31619,3.541567723,3.540449676,391.58,566.9
N/A,185.5969155,4320.512711,3.460987537,3.89809151,405.63,188.63
N/A,167.5546033,4308.80287,3.363101489,3.537481769,914.98,881.5
N/A,207.9127858,4327.077344,1.944307752,3.493390244,470.61,421.41
N/A,467.0427922,4290.931454,1.775950574,4.28466154,3.1843,351.48